,Census.Tract.GEOID,BUILDING.ID,BUILDING.ADDRESS,CARBON.DIOXIDE.EMISSIONS,COMPLIANCE.STATUS,X.DIFFERENCE.SOURCE.EUI,X.DIFFERENCE.SITE.EUI,ENERGY.STAR.SCORE,ENERGY.STAR.CERTIFICATION.ELIGIBILITY,ENERGY.STAR.CERTIFICATION.LAST.APPROVAL.DATE,ENERGY.STAR.CERTIFICATION.YEARS.CERTIFIED,ENTITY.RESPONSIBLE.FOR.BENCHMARK,GROSS.BUILDING.FLOOR.AREA,INDOOR.WATER.USE,INDOOR.WATER.USE.INTENSITY,NUMBER.OF.BUILDINGS,OCCUPANCY,OUTDOOR.WATER.USE,POSTAL.CODE,PROGRAM.YEAR,PROPERTY.TYPE,SITE.EUI,Source.EUI,TOTAL.WATER.USE,WEATHER.NORMALIZED.SITE.EUI,WEATHER.NORMALIZED.SOURCE.EUI,YEAR.BUILT,AIN,LADBS.Building.Category,CityOwned,Building.Wave,Longitude,Latitude,CES.Score,CES.Score.Percentile,Disadvantaged.Community,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
6650,6037269907.0,438572833175,10136 NATIONAL BLVD,,0,,,,,,,,,,,,,,90034,2019,,,,,,,,025,"20,000 to 49,999",0,3,-118.40659,34.028940000000006,32.1768939914775,63.4254004288056,0.0,Multi Family House,1960s,27175,2.8,738480625,0.15353499999999998
6581,6037269903.0,438724830776,3715 MOTOR AVE,,0,,,,,,,,,,,,,,90034,2020,,,,,,,,040,"20,000 to 49,999",0,4,-118.40536499999999,34.022293,28.931617893093602,57.6995838062807,0.0,Multi Family House,1990s,47548,27.8,2260812304,0.18401800000000001
6631,6037269906.0,438732831148,3668 MOTOR AVE,113.2,1,-31.3,-31.3,97.0,0.0,,Not Available,Roxbury Properties,40800.0,,,1.0,95.0,,90034,2017,Multifamily Housing,44.5,84.4,1781.9,45.8,85.8,1987.0,031,"50,000 to 99,999",0,5,-118.40624,34.023457,30.0439151773216,59.5787615083869,0.0,Multi Family House,1980s,53946,33.4,2910170916,0.316023
855,6037121010.0,438749903165,12534 ROSCOE BLVD,52.9,1,-20.4,-20.4,80.0,0.0,,Not Available,"Montgomery Enterprises, LLC",21074.0,,,1.0,90.0,,91352,2018,Multifamily Housing,42.3,71.3,1190.9,43.3,72.4,1962.0,019,"20,000 to 49,999",0,3,-118.4064,34.221653,54.8288056563295,93.1138857359062,1.0,Multi Family House,1960s,21074,41.2,444113476,0.255183
6646,6037269907.0,438840832698,10122 PALMS BLVD,,0,,,,,,,,,,,,,,90034,2020,,,,,,,,027,"20,000 to 49,999",0,5,-118.40525,34.028156,32.1768939914775,63.4254004288056,0.0,Multi Family House,1950s,33185,2.1,1101244225,0.33069299999999996
6639,6037269906.0,438876831832,3623 JASMINE AVE,80.0,0,-34.8,-34.8,96.0,1.0,,Not Available,"Lido Equities Group, Inc.",49680.0,,,1.0,100.0,,90034,2019,Multifamily Housing,26.4,48.6,1888.1,26.5,48.7,2001.0,005,"20,000 to 49,999",0,2,-118.40478,34.02545,30.0439151773216,59.5787615083869,0.0,Multi Family House,1990s,49680,26.4,2468102400,0.18395799999999998
1088,6037124400.0,438922887635,5939 WHITSETT AVE,36.8,1,-33.2,-33.2,93.0,0.0,,Not Available,Investors Management Co.,24507.0,,,1.0,100.0,,91607,2018,Multifamily Housing,21.3,59.6,1605.3,21.3,59.6,1963.0,014,"20,000 to 49,999",0,3,-118.40525,34.178303,28.8779356483107,57.573464497414506,0.0,Multi Family House,1960s,24507,58.7,600593049,0.344007
1015,6037123700.0,438968888533,6045 WHITSETT AVE,,0,,,,,,,,,,,,,,91606,2019,,,,,,,,012,"20,000 to 49,999",0,2,-118.40525,34.180386,35.4616104247521,69.2899482910834,0.0,Multi Family House,1950s,25070,2.5,628504900,0.30538899999999997
1086,6037124400.0,439019887458,5921 WHITSETT AVE,,0,,,,,,,,,,,,,,91607,2020,,,,,,,,014,"20,000 to 49,999",0,5,-118.40525,34.178017,28.8779356483107,57.573464497414506,0.0,Multi Family House,1980s,25342,50.8,642216964,0.30730100000000005
6554,6037269000.0,439103841839,1401 AMBASSADOR ST,1348.0,1,36.7,36.7,8.0,0.0,,Not Available,"Conservice, LLC",351000.0,,,7.0,95.0,,90035,2019,Multifamily Housing,66.2,102.2,11557.7,66.5,102.4,1989.0,009,"100,000+",0,5,-118.40401000000001,34.05325,12.3710922227977,18.602598057762602,0.0,Multi Family House,1980s,351000,47.0,123201000000,0.854404
6583,6037269903.0,439207829361,3861 MENTONE AVE,175.5,1,-21.1,-21.1,84.0,0.0,,Not Available,Rondec International,78944.0,,,1.0,95.0,,90232,2019,Multifamily Housing,38.4,58.8,2190.3,38.6,58.9,1971.0,033,"20,000 to 49,999",0,1,-118.40423999999999,34.018982,28.931617893093602,57.6995838062807,0.0,Multi Family House,1970s,78944,38.4,6232155136,0.444709
6543,6037269000.0,439223833719,3416 MANNING AVE,285.7,1,-25.9,-25.9,86.0,0.0,,Not Available,"Vert Energy Group, Inc.",138540.0,,,1.0,100.0,,90064,2018,Multifamily Housing,35.7,54.5,5427.1,,,1966.0,015,"50,000 to 99,999",0,5,-118.40428,34.03017,12.3710922227977,18.602598057762602,0.0,Multi Family House,1960s,138540,35.7,19193331600,0.61888
6591,6037269903.0,439335829570,3848 MENTONE AVE,153.6,1,114.3,114.3,1.0,0.0,,Not Available,"Vert Energy Group, Inc.",33008.0,,,1.0,100.0,,90232,2018,Multifamily Housing,72.4,157.4,592.6,,,1988.0,032,"20,000 to 49,999",0,1,-118.40406000000002,34.01876,28.931617893093602,57.6995838062807,0.0,Multi Family House,1980s,33008,32.0,1089528064,0.251576
2584,6037143400.0,439402877421,12433 MOORPARK ST,77.7,1,29.7,29.7,15.0,0.0,,Not Available,"Vert Energy Group, Inc.",20348.0,,,1.0,100.0,,91604,2018,Multifamily Housing,65.4,103.8,1289.6,67.2,105.7,1973.0,029,"20,000 to 49,999",0,1,-118.40426000000001,34.150368,15.8056147254111,27.3300542313028,0.0,Multi Family House,1970s,20348,70.7,414041104,0.410249
6850,6037275101.0,439524823105,4800 SEPULVEDA BLVD,75.8,1,-67.6,-67.6,100.0,0.0,,Not Available,"Vert Energy Group, Inc.",67532.0,,,1.0,100.0,,90230,2018,Multifamily Housing,20.8,23.8,208.7,22.0,25.1,1987.0,034,"50,000 to 99,999",0,3,-118.40353999999999,34.001059999999995,23.784753773537698,47.0929499306344,0.0,Multi Family House,1980s,67532,21.7,4560571024,0.300288
7184,,439721893005,12450 VANOWEN ST,86.0,1,-88.7,-88.7,100.0,0.0,,Not Available,Park Plaza,200000.0,,,1.0,100.0,,91606,2016,Senior Care Community,8.1,8.5,4805.5,8.4,8.8,2001.0,033,"100,000+",0,3,,,,,,Multi Family House,1990s,145264,27.0,21101629696,0.37791399999999997
6660,6037270100.0,439818832822,3560 HUGHES AVE,41.4,1,-32.8,-32.8,96.0,1.0,,Not Available,"MKC, LLC",21508.0,,,1.0,100.0,,90034,2019,Multifamily Housing,31.9,56.9,911.9,32.0,57.0,1986.0,055,"20,000 to 49,999",0,2,-118.402565,34.028233,46.49488072788299,84.8404590742843,1.0,Multi Family House,1980s,21508,31.9,462594064,0.222293
6620,6037269905.0,439850831316,3729 CLARINGTON AVE,,0,,,,,,,,,,,,,,90034,2019,,,,,,,,009,"20,000 to 49,999",0,4,-118.40155,34.02411,32.3263066996283,63.7028629083113,0.0,Multi Family House,1950s,30600,12.4,936360000,0.37546199999999996
52,6037104108.0,439858919529,10820 GLENOAKS BLVD,91.5,1,-25.7,-25.7,87.0,0.0,,Not Available,FOOTHILL ENTERPRISES,35312.0,,,1.0,100.0,,91331,2018,Multifamily Housing,43.9,72.2,2776.8,44.9,73.3,1984.0,012,"20,000 to 49,999",0,5,-118.407104,34.269382,43.8810923195996,81.410013873124,1.0,Multi Family House,1980s,35312,43.9,1246937344,0.307762
6622,6037269905.0,439906831155,3747 CLARINGTON AVE,,0,,,,,,,,,,,,,,90034,2020,,,,,,,,011,"20,000 to 49,999",0,3,-118.40128999999999,34.023773,32.3263066996283,63.7028629083113,0.0,Multi Family House,1950s,27380,16.8,749664400,0.387581
7210,,439940919467,10800 GLENOAKS BLVD,,0,,,,,,,,,,,,,,91331,2020,,,,,,,,011,"20,000 to 49,999",0,4,,,,,,Multi Family House,1980s,31903,23.0,1017801409,0.21740900000000002
6625,6037269905.0,439957830727,10113 VENICE BLVD,212.9,1,-37.4,-37.4,96.0,0.0,,Not Available,Clarington Apartments,120180.0,,,1.0,95.0,,90034,2016,Multifamily Housing,29.6,43.5,6060.4,,,1981.0,030,"100,000+",0,4,-118.40069,34.02248,32.3263066996283,63.7028629083113,0.0,Multi Family House,1980s,120180,29.7,14443232400,0.504998
1148,6037124903.0,439986883137,5247 CORTEEN PL,87.2,1,-19.1,-19.1,83.0,0.0,,Not Available,"Mashcole Property Management, Inc.",38312.0,,,1.0,95.0,,91607,2018,Multifamily Housing,39.3,66.4,2313.0,40.8,68.0,1963.0,003,"20,000 to 49,999",0,4,-118.40196999999999,34.165913,32.707823248636,64.3586833144154,0.0,Multi Family House,1960s,38312,39.3,1467809344,0.29735900000000004
1153,6037124903.0,439996883034,5235 CORTEEN PL,,0,,,,,,,,,,,,,,91607,2018,,,,,,,,019,"20,000 to 49,999",0,3,-118.40196999999999,34.165703,32.707823248636,64.3586833144154,0.0,Multi Family House,1960s,45506,30.9,2070796036,0.281776
1139,6037124902.0,440001884214,5415 CORTEEN PL,70.2,1,4.6,4.6,42.0,0.0,,Not Available,"Mashcole Property Management, Inc.",21935.0,,,1.0,100.0,,91607,2018,Multifamily Housing,56.3,87.0,1506.6,57.9,88.6,1962.0,015,"20,000 to 49,999",0,3,-118.40196999999999,34.169140000000006,32.0168446557321,63.0974902257536,0.0,Multi Family House,1960s,21935,56.3,481144225,0.322785
1157,6037124903.0,440230883150,5252 CORTEEN PL,124.0,0,0.0,0.0,49.0,0.0,,Not Available,"Vert Energy Group, Inc.",40052.0,,,1.0,100.0,,91607,2019,Multifamily Housing,53.0,83.8,2309.2,52.3,82.9,1961.0,006,"20,000 to 49,999",0,1,-118.40196,34.165768,32.707823248636,64.3586833144154,0.0,Multi Family House,1960s,40052,53.0,1604162704,0.371371
967,6037123301.0,440300895123,12300 SHERMAN WAY,472.6,1,-5.0,-5.0,57.0,0.0,,Not Available,MG Properties,141100.0,,,5.0,100.0,,91605,2018,Multifamily Housing,56.6,94.1,8498.6,58.7,96.3,1975.0,019,"100,000+",0,2,-118.39985,34.20113,53.808163628321,92.2688863665027,1.0,Multi Family House,1970s,141100,62.1,19909210000,0.971092
1146,6037124902.0,440340884686,5502 CORTEEN PL,51.0,1,-19.6,-19.6,83.0,0.0,,Not Available,"RealPage Utility Management, Inc.",23578.0,,,1.0,95.0,,91607,2018,Multifamily Housing,32.8,76.8,963.6,32.2,74.5,1962.0,001,"20,000 to 49,999",0,4,-118.40196,34.17044,32.0168446557321,63.0974902257536,0.0,Multi Family House,1960s,23578,16.2,555922084,0.180478
6570,6037269800.0,440363833770,3325 CASTLE HEIGHTS AVE,200.3,1,134.2,134.2,1.0,0.0,,Not Available,"Vert Energy Group, Inc.",39900.0,,,1.0,100.0,,90034,2018,Multifamily Housing,77.7,172.1,2938.8,,,1988.0,015,"20,000 to 49,999",0,1,-118.40003,34.03095,30.651147312522603,60.7642830117291,0.0,Multi Family House,1980s,39900,41.3,1592010000,0.310162
7475,,440375884133,12311 CHANDLER BLVD,,0,,,,,,,,,,,,,,91607,2020,,,,,,,,015,"20,000 to 49,999",0,2,,,,,,Multi Family House,1960s,42864,3.5,1837322496,0.18229800000000002
1154,6037124903.0,440436882949,5227 HERMITAGE AVE,62.1,1,-58.1,-58.1,100.0,0.0,,Not Available,Lonagto Enterprise,100000.0,,,1.0,100.0,,91607,2018,Multifamily Housing,11.0,15.5,1232.7,,,1972.0,012,"20,000 to 49,999",0,5,-118.40033999999999,34.165424,32.707823248636,64.3586833144154,0.0,Multi Family House,1970s,100000,11.0,10000000000,0.34803
6634,6037269906.0,440437831007,3762 CLARINGTON AVE,250.1,1,-34.8,-34.8,99.0,1.0,,Not Available,equity residential,178188.0,,,1.0,95.0,,90034,2019,Multifamily Housing,22.7,44.0,3986.4,22.7,44.1,2006.0,041,"100,000+",0,4,-118.401054,34.02348,30.0439151773216,59.5787615083869,0.0,Multi Family House,1990s,178188,22.7,31750963344,0.41122
6547,6037269000.0,440455842733,1259 S CAMDEN DR,44.3,1,-50.1,-50.1,,0.0,,Not Available,"Vert Energy Group, Inc.",24712.0,,,1.0,100.0,,90035,2019,Multifamily Housing,28.3,59.0,875.2,28.3,59.0,1968.0,021,"20,000 to 49,999",0,2,-118.400116,34.05542,12.3710922227977,18.602598057762602,0.0,Multi Family House,1960s,24712,28.3,610682944,0.21890199999999999
84,6037104703.0,440505917269,12320 OSBORNE PL,3.7,1,-92.5,-92.5,100.0,0.0,,Not Available,LA Apartments,22848.0,,,1.0,100.0,,91331,2018,Multifamily Housing,2.3,6.4,1600.3,2.3,6.4,1988.0,005,"20,000 to 49,999",0,5,-118.40144,34.260036,62.2477077535379,97.2253752049439,1.0,Multi Family House,1980s,22848,2.3,522031104,0.144932
2580,6037143400.0,440509879873,12244 RIVERSIDE DR,55.6,1,-22.2,-22.2,82.0,0.0,,Not Available,Woodman Sylvan Properties,26810.0,,,1.0,100.0,,91607,2019,Multifamily Housing,33.3,65.8,1017.4,33.1,65.7,1986.0,058,"20,000 to 49,999",0,2,-118.40003,34.15761,15.8056147254111,27.3300542313028,0.0,Multi Family House,1980s,26810,33.3,718776100,0.240333
88,6037104704.0,440531918062,12227 OSBORNE PL,,0,,,,,,,,,,,,,,91331,2019,,,,,,,,005,"50,000 to 99,999",0,2,-118.39971000000001,34.261314,49.251435801608,88.0691133812587,1.0,Multi Family House,1990s,87531,31.8,7661675961,0.27772399999999997
1142,6037124902.0,440551885142,12254 BURBANK BLVD,36.7,1,-50.1,-50.1,,0.0,,Not Available,J.K.Residential Services Inc,24794.0,,,1.0,95.0,,91607,2018,Multifamily Housing,21.0,58.9,1259.7,21.0,58.9,1958.0,040,"20,000 to 49,999",0,2,-118.40073400000001,34.172129999999996,32.0168446557321,63.0974902257536,0.0,Multi Family House,1950s,24794,21.0,614742436,0.401437
7520,,440648884069,12245 CHANDLER BLVD,,0,,,,,,,,,,,,,,91607,2020,,,,,,,,022,"20,000 to 49,999",0,5,,,,,,Multi Family House,1970s,32781,24.1,1074593961,0.23346399999999998
2589,6037143500.0,440779877280,12222 MOORPARK ST,5.8,1,-91.4,-91.4,,0.0,,Not Available,SMH Magnolia Condominiums,22507.0,,,1.0,95.0,,91604,2018,Multifamily Housing,3.6,10.2,1126.8,3.6,10.2,1995.0,051,"20,000 to 49,999",0,1,-118.39939,34.15036,17.642184493187102,32.1730356917644,0.0,Multi Family House,1990s,22507,3.6,506565049,0.099094
81,6037104703.0,440948917655,12226 OSBORNE PL,238.9,0,5.4,5.4,41.0,0.0,,Not Available,Unknown,87234.0,,,1.0,100.0,,91331,2019,Multifamily Housing,46.5,75.8,657.8,46.8,76.1,2012.0,011,"20,000 to 49,999",0,3,-118.39971000000001,34.2613,62.2477077535379,97.2253752049439,1.0,Multi Family House,1990s,87234,46.5,7609770756,0.345134
6629,6037269905.0,441078830539,9901 WASHINGTON BLVD,418.5,1,49.0,49.0,5.0,0.0,,Not Available,"Vert Energy Group, Inc.",123879.0,,,1.0,100.0,,90232,2017,Multifamily Housing,54.4,106.6,320.9,54.4,106.6,2016.0,034,"50,000 to 99,999",0,5,-118.39752,34.021633,32.3263066996283,63.7028629083113,0.0,Multi Family House,1990s,123879,63.3,15346006641,0.5748270000000001
2599,6037143500.0,441183877247,12140 MOORPARK ST,14.9,1,-86.0,-86.0,,0.0,,Not Available,Woodman Sylvan Properties,28610.0,,,1.0,100.0,,91604,2018,Multifamily Housing,8.3,16.5,1128.1,8.3,16.5,2002.0,064,"20,000 to 49,999",0,4,-118.39783999999999,34.15036,17.642184493187102,32.1730356917644,0.0,Multi Family House,1990s,28610,8.3,818532100,0.113482
6975,6037277000.0,441205808213,6324 W 85TH PL,34.9,1,-33.7,-33.7,93.0,1.0,,Not Available,Moss & Company,21064.0,,,1.0,95.0,,90045,2019,Multifamily Housing,29.5,43.0,605.9,30.0,43.5,1969.0,019,"20,000 to 49,999",0,2,-118.39873500000002,33.960434,19.373338623465802,36.7637785344936,0.0,Multi Family House,1960s,21064,29.5,443692096,0.21423000000000003
962,6037123301.0,441281894457,12148 HART ST,,0,,,,,,,,,,,,,,91605,2019,,,,,,,,041,"20,000 to 49,999",0,4,-118.39780400000001,34.197575,53.808163628321,92.2688863665027,1.0,Multi Family House,1990s,20060,46.1,402403600,0.182077
6988,6037278001.0,441384807466,8655 S SEPULVEDA BLVD,,0,,,,,,,,,,,,,,90045,2019,,,,,,,,003,"20,000 to 49,999",0,4,-118.3963,33.959007,23.7730299712454,47.02989027620129,0.0,Retail,1950s,28678,41.5,822427684,2.8944520000000002
6656,6037270100.0,441405832612,3701 BAGLEY AVE,42.6,1,-32.4,-32.4,94.0,0.0,,Not Available,Yardi Energy,22776.0,,,1.0,95.0,,90034,2018,Multifamily Housing,30.2,58.6,887.6,31.0,59.4,1971.0,043,"20,000 to 49,999",0,2,-118.39662,34.02747,46.49488072788299,84.8404590742843,1.0,Multi Family House,1970s,22776,32.2,518746176,0.23697
2565,6037143400.0,441502877684,4440 VANTAGE AVE,,0,,,,,,,,,,,,,,91604,2019,,,,,,,,076,"20,000 to 49,999",0,3,-118.39756000000001,34.150814000000004,15.8056147254111,27.3300542313028,0.0,Multi Family House,1990s,44064,5.3,1941636096,0.12706900000000002
6657,6037270100.0,441524832707,3700 BAGLEY AVE,51.0,1,-61.1,-61.1,100.0,0.0,,Not Available,"Scott Properties Group, Inc.",45834.0,2267.6,49.47,1.0,100.0,,90034,2019,Multifamily Housing,20.0,27.3,2267.6,20.1,27.4,1964.0,056,"20,000 to 49,999",0,4,-118.39661000000001,34.027477000000005,46.49488072788299,84.8404590742843,1.0,Multi Family House,1960s,45834,20.0,2100755556,0.240196
7483,,441541884154,12111 CHANDLER BLVD,449.6,1,-5.1,-5.1,58.0,0.0,,Not Available,"Vert Energy Group, Inc.",144285.0,,,1.0,100.0,,91607,2016,Multifamily Housing,52.7,84.6,1689.8,54.0,85.9,1995.0,028,"100,000+",0,3,,,,,,Multi Family House,1990s,144285,52.7,20818161225,0.551975
2598,6037143500.0,441592876267,4211 LAUREL CANYON BLVD,203.8,1,-40.2,-40.2,,0.0,,Not Available,"Vert Energy Group, Inc.",84892.0,,,1.0,100.0,,91604,2019,Multifamily Housing,41.3,70.7,2955.6,40.8,70.1,1988.0,052,"50,000 to 99,999",0,4,-118.39647,34.147038,17.642184493187102,32.1730356917644,0.0,Multi Family House,1980s,84892,31.0,7206651664,0.399262
971,6037123301.0,441593894246,6949 LAUREL CANYON BLVD,222.8,1,-23.9,-23.9,86.0,0.0,,Not Available,"Conservice, LLC",88576.0,,,1.0,95.0,,91605,2017,Multifamily Housing,40.1,77.4,2.3,41.4,78.7,1986.0,060,"50,000 to 99,999",0,4,-118.39652,34.196686,53.808163628321,92.2688863665027,1.0,Multi Family House,1980s,88576,41.1,7845707776,0.478059
857,6037121020.0,441627899238,7701 LAUREL CANYON BLVD,72.5,1,-21.0,-21.0,81.0,1.0,,Not Available,Pari Enterprises,31506.0,,,1.0,95.0,,91605,2019,Multifamily Housing,38.3,66.8,2957.8,38.0,66.5,1986.0,022,"20,000 to 49,999",0,5,-118.39652,34.210136,62.9133247500312,97.49022575356291,1.0,Multi Family House,1980s,31506,38.3,992628036,0.272123
860,6037121020.0,441630898770,7627 LAUREL CANYON BLVD,9.2,1,-87.3,-87.3,,0.0,,Not Available,Tony Mersola,24509.0,,,1.0,100.0,,91605,2018,Multifamily Housing,5.4,15.0,2130.5,5.4,15.0,1985.0,014,"20,000 to 49,999",0,1,-118.39652,34.20901,62.9133247500312,97.49022575356291,1.0,Multi Family House,1980s,24509,5.4,600691081,0.154549
6572,6037269800.0,441759833953,9344 NATIONAL BLVD,,0,,,,,,,,,,,,,,90034,2019,,,,,,,,011,"20,000 to 49,999",0,2,-118.395226,34.03132,30.651147312522603,60.7642830117291,0.0,Multi Family House,1970s,26350,9.5,694322500,0.175419
1182,6037125100.0,441795881232,4956 LAUREL CANYON BLVD,141.7,1,-6.6,-6.6,61.0,0.0,,Not Available,"Conservice, LLC",44190.0,,,2.0,85.0,,91607,2019,Multifamily Housing,51.9,100.1,1885.1,51.6,99.8,1985.0,067,"20,000 to 49,999",0,2,-118.39648400000002,34.16066,32.598064702532,64.1821162820028,0.0,Multi Family House,1980s,44190,48.3,1952756100,0.35939099999999996
6577,6037269800.0,441796833510,3339 S CANFIELD AVE,69.8,1,-2.7,-2.7,54.0,0.0,,Not Available,"Lido Equities Group, Inc.",35340.0,,,1.0,100.0,,90034,2018,Multifamily Housing,31.5,63.5,879.7,32.5,64.5,1971.0,029,"20,000 to 49,999",0,1,-118.39492,34.03063,30.651147312522603,60.7642830117291,0.0,Multi Family House,1970s,35340,31.5,1248915600,0.267739
1042,6037123902.0,441826885917,5712 LAUREL CANYON BLVD,,0,,,,,,,,,,,,,,91607,2020,,,,,,,,066,"50,000 to 99,999",0,4,-118.3965,34.174446,22.455098603206302,44.066086517845896,0.0,Multi Family House,1990s,60360,28.7,3643329600,0.21042600000000003
1049,6037123902.0,441870887265,12047 CALIFA ST,84.0,1,21.3,21.3,22.0,0.0,,Not Available,Unknown,28398.0,,,1.0,100.0,,91607,2018,Multifamily Housing,46.3,99.2,2.0,46.7,99.6,2004.0,034,"20,000 to 49,999",0,3,-118.39551499999999,34.177326,22.455098603206302,44.066086517845896,0.0,Multi Family House,1990s,28398,46.2,806446404,0.19948
1037,6037123902.0,441879886485,5764 LAUREL CANYON BLVD,77.2,1,-5.5,-5.5,60.0,0.0,,Not Available,Yardi Energy,25838.0,,,1.0,95.0,,91607,2019,Multifamily Housing,49.5,88.3,1515.6,49.5,88.3,1986.0,043,"20,000 to 49,999",0,3,-118.3965,34.17536,22.455098603206302,44.066086517845896,0.0,Multi Family House,1980s,25838,49.5,667602244,0.302994
6575,6037269800.0,441913833737,3325 S CANFIELD AVE,,0,,,,,,,,,,,,,,90034,2020,,,,,,,,033,"20,000 to 49,999",0,4,-118.39483999999999,34.030834000000006,30.651147312522603,60.7642830117291,0.0,Multi Family House,1990s,29709,31.0,882624681,0.161164
923,6037122410.0,441916897774,7466 LAUREL CANYON BLVD,64.1,1,-24.3,-24.3,88.0,1.0,,Not Available,Vermont Knoll Retirement Community llc,21170.0,,,1.0,95.0,,91605,2019,Multifamily Housing,51.2,84.5,1584.4,50.7,84.0,1989.0,037,"20,000 to 49,999",0,3,-118.39651,34.2062,66.9286647607331,98.7514188422248,1.0,Multi Family House,1980s,21170,51.2,448168900,0.295507
892,6037121801.0,441919899013,7654 LAUREL CANYON BLVD,107.3,1,-43.4,-43.4,99.0,0.0,,Not Available,Laurel Tower Apartment Complex llc,63821.0,,,1.0,95.0,,91605,2017,Multifamily Housing,24.9,59.3,6224.5,25.8,60.2,1985.0,038,"50,000 to 99,999",0,2,-118.39651,34.209454,53.4625284930666,91.99142388699708,1.0,Multi Family House,1980s,63821,24.6,4073120041,0.30341599999999996
6560,6037269100.0,442001841963,1470 S BEVERLY DR,,0,,,,,,,,,,,,,,90035,2020,,,,,,,,025,"20,000 to 49,999",0,2,-118.39535,34.05321,19.8566149902937,37.936688106949205,0.0,Multi Family House,1960s,33742,51.8,1138522564,0.342049
2529,6037143300.0,442094879424,12021 KLING ST,116.5,1,-35.6,-35.6,98.0,0.0,,Not Available,AUM,58448.0,,,1.0,95.0,,91607,2018,Multifamily Housing,32.5,61.0,2006.3,33.0,61.4,2011.0,127,"50,000 to 99,999",0,3,-118.39483999999999,34.155809999999995,20.4864426040923,39.551015260436394,0.0,Multi Family House,1990s,58448,32.5,3416168704,0.218849
6561,6037269100.0,442181841991,1467 REXFORD DR,36.9,1,-62.0,-62.0,,0.0,,Not Available,Baum Family Partnership,23429.0,,,1.0,95.0,,90035,2019,Multifamily Housing,26.4,44.9,784.0,26.6,45.1,1967.0,026,"20,000 to 49,999",0,1,-118.39426999999999,34.053307000000004,19.8566149902937,37.936688106949205,0.0,Multi Family House,1960s,23429,26.4,548918041,0.209853
2537,6037143300.0,442301879765,12000 RIVERSIDE DR,285.3,1,-18.6,-18.6,82.0,0.0,,Not Available,AUM,130929.0,,,1.0,95.0,,91607,2018,Multifamily Housing,34.3,71.9,4332.7,34.8,72.4,2012.0,128,"100,000+",0,3,-118.39437,34.15761,20.4864426040923,39.551015260436394,0.0,Multi Family House,1990s,130929,35.3,17142403041,0.394862
1166,6037125100.0,442364884754,12005 ALBERS ST,296.0,1,-38.2,-38.2,99.0,0.0,,Not Available,AUM,153481.0,,,1.0,95.0,,91607,2018,Multifamily Housing,31.2,60.2,5794.4,31.6,60.6,2014.0,044,"100,000+",0,3,-118.39443999999999,34.170334000000004,32.598064702532,64.1821162820028,0.0,Multi Family House,1990s,153481,31.2,23556417361,0.419538
2709,6037143800.0,442460874281,3934 LAUREL CANYON BLVD,126.1,1,-56.9,-56.9,100.0,0.0,,Not Available,BERGLAS & GARFIELD,57024.0,,,2.0,90.0,,91604,2019,Multifamily Housing,38.8,56.0,1868.6,37.8,54.9,1989.0,006,"50,000 to 99,999",0,1,-118.39464,34.141933,24.0673689386655,47.8244419220583,0.0,Multi Family House,1980s,57024,37.7,3251736576,0.346831
2697,6037143800.0,442470874133,3912 LAUREL CANYON BLVD,82.4,1,-58.1,-58.1,100.0,0.0,,Not Available,BERGLAS & GARFIELD,31296.0,,,1.0,95.0,,91604,2019,Multifamily Housing,44.3,74.6,855.0,43.5,73.6,1989.0,032,"20,000 to 49,999",0,2,-118.39446000000001,34.14144,24.0673689386655,47.8244419220583,0.0,Multi Family House,1980s,31296,44.3,979439616,0.296995
875,6037121222.0,442493908355,12002 ALLEGHENY ST,118.0,1,-27.4,-27.4,93.0,0.0,,Not Available,FOOTHILL ENTERPRISES,42284.0,,,1.0,100.0,,91352,2018,Multifamily Housing,46.8,80.0,3945.2,47.6,80.8,1990.0,082,"20,000 to 49,999",0,3,-118.39392,34.2365,67.3930703579549,98.8270904275445,1.0,Multi Family House,1990s,42284,46.8,1787936656,0.232107
57,6037104108.0,442549922843,11998 TERRA BELLA ST,76.9,0,-36.9,-36.9,95.0,1.0,,Not Available,Unknown,45000.0,,,1.0,100.0,,91342,2019,Multifamily Housing,27.3,54.9,2531.4,27.4,55.0,2000.0,009,"20,000 to 49,999",0,2,-118.394516,34.275642,43.8810923195996,81.410013873124,1.0,Multi Family House,1990s,45000,25.2,2025000000,0.172655
1186,6037125100.0,442583883340,11941 WEDDINGTON ST,42.1,1,-36.6,-36.6,98.0,1.0,,Not Available,Los Angeles Property Management Group,25209.0,,,1.0,90.0,,91607,2019,Multifamily Housing,28.2,52.0,532.6,28.1,51.9,1979.0,024,"20,000 to 49,999",0,1,-118.39305,34.166695000000004,32.598064702532,64.1821162820028,0.0,Multi Family House,1970s,25209,29.3,635493681,0.23295100000000002
871,6037121102.0,442593910721,11805 W SHELDON ST,27.2,1,-50.5,-50.5,93.0,0.0,,Not Available,Los Angeles Department of Water and Power,11430.0,,,1.0,100.0,,91352,2016,Office,31.4,98.6,57.6,31.3,98.4,2000.0,903,"7,500 to 14,999",1,1,-118.38911399999999,34.242672,46.139377516368896,84.4116534241392,1.0,Office,1980s,10800,32.2,116640000,9.572637
